traffic_id,date,time,city_zone,road_type,vehicle_count,avg_speed,weather,visibility,traffic_signal,accident_occurred,accident_severity,road_condition,day_of_week,vehicle_count_norm,avg_speed_norm,visibility_norm
1,2023-11-24,03:01:00,East,Arterial,59.0,30.89,Rain,2,Green,0,,Poor,Friday,0.26782393056416615,0.2189957018555404,0.1111111111111111
2,2023-10-07,02:37:00,West,Highway,162.0,95.23,Clear,4,Green,0,,Good,Saturday,0.7786732796032237,0.8934898836356012,0.3333333333333333
3,2023-01-14,17:12:00,Central,Crossroad,45.0,30.13,Rain,5,Red,0,,Poor,Saturday,0.19838809671419713,0.21102840968654996,0.4444444444444445
4,2023-01-04,05:44:00,West,Residential,81.0,38.14,Fog,3,Green,0,,Good,Wednesday,0.37693738375697455,0.2949994758360415,0.2222222222222222
5,2023-07-14,03:22:00,East,Residential,40.0,45.43,Clear,9,Yellow,0,,Fair,Friday,0.1735895846249225,0.3714225809833316,0.8888888888888888
6,2023-07-13,02:35:00,East,Residential,40.0,28.27,Rain,1,Yellow,0,,Good,Thursday,0.1735895846249225,0.19152951043086275,0.0
7,2023-05-29,02:54:00,South,Highway,154.0,48.69,Snow,6,Red,0,,Fair,Monday,0.7389956602603843,0.4055980710766327,0.5555555555555556
8,2023-07-01,06:42:00,East,Highway,115.0,59.5,Rain,4,Yellow,0,,Poor,Saturday,0.5455672659640421,0.5189223189013523,0.3333333333333333
9,2023-07-14,08:59:00,Central,Arterial,29.0,34.51,Fog,1,Green,0,,Good,Friday,0.11903285802851829,0.2569451724499423,0.0
10,2023-07-25,08:04:00,South,Residential,31.0,20.7,Rain,7,Yellow,0,,Fair,Tuesday,0.12895226286422815,0.11217108711604991,0.6666666666666665
11,2023-11-26,14:09:00,East,Arterial,79.0,30.19,Rain,9,Yellow,0,,Poor,Sunday,0.3670179789212647,0.21165740643673342,0.8888888888888888
12,2023-10-27,13:57:00,Central,Crossroad,51.0,20.6,Fog,4,Green,1,Minor,Good,Friday,0.22814631122132673,0.1111227591990775,0.3333333333333333
13,2023-02-26,04:40:00,South,Crossroad,39.0,41.11,Clear,10,Red,0,Minor,Fair,Sunday,0.16862988220706757,0.32613481497012264,1.0
14,2023-09-28,08:35:00,North,Highway,126.0,67.01,Fog,1,Yellow,0,Minor,Fair,Thursday,0.6001239925604464,0.5976517454659818,0.0
15,2023-03-22,14:00:00,East,Arterial,37.0,37.08,Clear,9,Yellow,0,Minor,Fair,Wednesday,0.1587104773713577,0.28388719991613376,0.8888888888888888
16,2023-03-20,11:48:00,South,Highway,137.0,78.82,Fog,1,Red,0,Minor,Good,Monday,0.6546807191568506,0.7214592724604255,0.0
17,2023-06-07,07:03:00,South,Highway,149.0,69.42,Clear,2,Yellow,0,Minor,Fair,Wednesday,0.7141971481711097,0.6229164482650174,0.1111111111111111
18,2023-09-30,04:08:00,West,Arterial,66.0,22.23,Fog,4,Yellow,0,Minor,Poor,Saturday,0.30254184748915064,0.12821050424572805,0.3333333333333333
19,2023-10-04,23:44:00,South,Residential,54.0,16.32,Snow,6,Yellow,0,Minor,Poor,Wednesday,0.2430254184748915,0.06625432435265753,0.5555555555555556
20,2023-09-22,14:07:00,South,Arterial,23.0,41.97,Clear,10,Red,0,Minor,Good,Friday,0.08927464352138871,0.33515043505608555,1.0
