traffic_id,date,time,city_zone,road_type,vehicle_count,avg_speed,weather,visibility,traffic_signal,accident_occurred,accident_severity,road_condition,day_of_week
1,2023-11-24,03:01:00,East,Arterial,59,30.89,Rain,2,Green,0,None,Poor,Friday
2,2023-10-07,02:37:00,West,Highway,162,95.23,Clear,4,Green,0,None,Good,Saturday
3,2023-01-14,17:12:00,Central,Crossroad,45,30.13,Rain,5,Red,0,None,Poor,Saturday
4,2023-01-04,05:44:00,West,Residential,81,38.14,Fog,3,Green,0,None,Good,Wednesday
5,2023-07-14,03:22:00,East,Residential,40,45.43,Clear,9,Yellow,0,None,Fair,Friday
6,2023-07-13,02:35:00,East,Residential,40,28.27,Rain,1,Yellow,0,None,Good,Thursday
7,2023-05-29,02:54:00,South,Highway,154,48.69,Snow,6,Red,0,None,Fair,Monday
8,2023-07-01,06:42:00,East,Highway,115,59.5,Rain,4,Yellow,0,None,Poor,Saturday
9,2023-07-14,08:59:00,Central,Arterial,29,34.51,Fog,1,Green,0,None,Good,Friday
10,2023-07-25,08:04:00,South,Residential,31,20.7,Rain,7,Yellow,0,None,Fair,Tuesday
11,2023-11-26,14:09:00,East,Arterial,79,30.19,Rain,9,Yellow,0,None,Poor,Sunday
12,2023-10-27,13:57:00,Central,Crossroad,51,20.6,Fog,4,Green,1,Minor,Good,Friday
13,2023-02-26,04:40:00,South,Crossroad,39,41.11,Clear,10,Red,0,None,Fair,Sunday
14,2023-09-28,08:35:00,North,Highway,126,67.01,Fog,1,Yellow,0,None,Fair,Thursday
15,2023-03-22,14:00:00,East,Arterial,37,37.08,Clear,9,Yellow,0,None,Fair,Wednesday
16,2023-03-20,11:48:00,South,Highway,137,78.82,Fog,1,Red,0,None,Good,Monday
17,2023-06-07,07:03:00,South,Highway,149,69.42,Clear,2,Yellow,0,None,Fair,Wednesday
18,2023-09-30,04:08:00,West,Arterial,66,22.23,Fog,4,Yellow,0,None,Poor,Saturday
19,2023-10-04,23:44:00,South,Residential,54,16.32,Snow,6,Yellow,0,None,Poor,Wednesday
20,2023-09-22,14:07:00,South,Arterial,23,41.97,Clear,10,Red,0,None,Good,Friday
21,2023-10-29,07:00:00,North,Highway,164,65.37,Rain,6,Green,1,Minor,Good,Sunday
22,2023-05-23,21:31:00,South,Arterial,47,29.59,Snow,7,Green,0,None,Fair,Tuesday
23,2023-02-19,21:27:00,East,Crossroad,20,26.24,Snow,1,Red,0,None,Poor,Sunday
24,2023-11-27,03:03:00,West,Residential,40,50.57,Clear,4,Green,0,None,Good,Monday
25,2023-03-13,13:11:00,East,Crossroad,56,17.9,Rain,9,Green,1,Fatal,Fair,Monday
26,2023-10-04,00:05:00,South,Arterial,56,28.92,Snow,4,Red,0,None,Fair,Wednesday
27,2023-01-31,05:24:00,North,Crossroad,36,36.89,Fog,4,Red,0,None,Fair,Tuesday
28,2023-10-12,21:45:00,West,Arterial,70,39.45,Rain,1,Red,0,None,Good,Thursday
